Chewie-NS ID	Original ID
wgMLST-00031595	b0002
wgMLST-00031596	b0003
wgMLST-00031597	b0004
wgMLST-00031598	b0005
wgMLST-00031599	b0006
wgMLST-00031601	b0009
wgMLST-00031602	b0010
wgMLST-00031603	b0011
wgMLST-00031604	b0013
wgMLST-00031605	b0014
wgMLST-00031606	b0015
wgMLST-00031608	b0019
wgMLST-00031609	b0020
wgMLST-00031610	b0023
wgMLST-00031612	b0025
wgMLST-00031613	b0026
wgMLST-00031614	b0027
wgMLST-00031615	b0028
wgMLST-00031616	b0029
wgMLST-00031617	b0030
wgMLST-00031618	b0031
wgMLST-00031619	b0032
wgMLST-00031620	b0033
wgMLST-00031621	b0034
wgMLST-00031625	b0039
wgMLST-00031627	b0041
wgMLST-00031628	b0042
wgMLST-00031632	b0046
wgMLST-00031633	b0047
wgMLST-00031634	b0049
wgMLST-00031635	b0050
wgMLST-00031636	b0051
wgMLST-00031637	b0052
wgMLST-00031638	b0053
wgMLST-00031639	b0054
wgMLST-00031640	b0055
wgMLST-00031641	b0058
wgMLST-00031642	b0059
wgMLST-00031643	b0060
wgMLST-00031644	b0062
wgMLST-00031645	b0063
wgMLST-00031646	b0064
wgMLST-00031647	b0065
wgMLST-00031648	b0066
wgMLST-00031649	b0067
wgMLST-00031650	b0068
wgMLST-00031651	b0071
wgMLST-00031652	b0072
wgMLST-00031653	b0073
wgMLST-00031654	b0074
wgMLST-00031657	b0077
wgMLST-00031658	b0078
wgMLST-00031659	b0080
wgMLST-00031660	b0081
wgMLST-00031661	b0082
wgMLST-00031662	b0083
wgMLST-00031663	b0084
wgMLST-00031664	b0085
wgMLST-00031665	b0086
wgMLST-00031666	b0087
wgMLST-00031667	b0088
wgMLST-00031668	b0089
wgMLST-00031669	b0090
wgMLST-00031670	b0091
wgMLST-00031671	b0092
wgMLST-00031672	b0093
wgMLST-00031673	b0094
wgMLST-00031674	b0095
wgMLST-00031675	b0096
wgMLST-00031676	b0097
wgMLST-00031677	b0098
wgMLST-00031678	b0099
wgMLST-00031679	b0101
wgMLST-00031680	b0102
wgMLST-00031681	b0103
wgMLST-00031682	b0104
wgMLST-00031683	b0106
wgMLST-00031685	b0108
wgMLST-00031686	b0109
wgMLST-00031687	b0110
wgMLST-00031688	b0111
