Chewie-NS ID	Original ID
wgMLST-00042855	AT698_RS08745
wgMLST-00045237	SC0831
wgMLST-00045994	SEN0401
wgMLST-00046549	SPAB_04503
wgMLST-00046750	STM0657
wgMLST-00046757	STM1228
wgMLST-00046789	STM3012
wgMLST-00046832	STMMW_00011
wgMLST-00046833	STMMW_00021
wgMLST-00046834	STMMW_00031
wgMLST-00046835	STMMW_00041
wgMLST-00046837	STMMW_00071
wgMLST-00046838	STMMW_00081
wgMLST-00046839	STMMW_00091
wgMLST-00046840	STMMW_00101
wgMLST-00046841	STMMW_00111
wgMLST-00046842	STMMW_00121
wgMLST-00046843	STMMW_00131
wgMLST-00046844	STMMW_00141
wgMLST-00046845	STMMW_00151
wgMLST-00046846	STMMW_00161
wgMLST-00046847	STMMW_00171
wgMLST-00046848	STMMW_00181
wgMLST-00046849	STMMW_00191
wgMLST-00046850	STMMW_00211
wgMLST-00046851	STMMW_00221
wgMLST-00046852	STMMW_00231
wgMLST-00046853	STMMW_00241
wgMLST-00046854	STMMW_00251
wgMLST-00046855	STMMW_00261
wgMLST-00046856	STMMW_00281
wgMLST-00046860	STMMW_00361
wgMLST-00046861	STMMW_00371
wgMLST-00046862	STMMW_00381
wgMLST-00046863	STMMW_00401
wgMLST-00046864	STMMW_00411
wgMLST-00046866	STMMW_00461
wgMLST-00046867	STMMW_00471
wgMLST-00046868	STMMW_00481
wgMLST-00046869	STMMW_00491
wgMLST-00046870	STMMW_00501
wgMLST-00046871	STMMW_00511
wgMLST-00046872	STMMW_00521
wgMLST-00046873	STMMW_00541
wgMLST-00046874	STMMW_00581
wgMLST-00046875	STMMW_00591
wgMLST-00046876	STMMW_00631
wgMLST-00046877	STMMW_00641
wgMLST-00046878	STMMW_00651
wgMLST-00046879	STMMW_00681
wgMLST-00046880	STMMW_00691
wgMLST-00046881	STMMW_00701
wgMLST-00046882	STMMW_00711
wgMLST-00046883	STMMW_00721
wgMLST-00046884	STMMW_00731
wgMLST-00046885	STMMW_00741
wgMLST-00046886	STMMW_00751
wgMLST-00046887	STMMW_00761
wgMLST-00046888	STMMW_00771
wgMLST-00046889	STMMW_00781
wgMLST-00046891	STMMW_00821
wgMLST-00046892	STMMW_00841
wgMLST-00046893	STMMW_00851
wgMLST-00046895	STMMW_00881
wgMLST-00046896	STMMW_00901
wgMLST-00046897	STMMW_00911
wgMLST-00046898	STMMW_00921
wgMLST-00046899	STMMW_00931
wgMLST-00046900	STMMW_00941
wgMLST-00046901	STMMW_00951
wgMLST-00046902	STMMW_00961
wgMLST-00046903	STMMW_00971
wgMLST-00046904	STMMW_00981
wgMLST-00046905	STMMW_00991
wgMLST-00046906	STMMW_01001
wgMLST-00046907	STMMW_01011
wgMLST-00046908	STMMW_01021
wgMLST-00046911	STMMW_01071
wgMLST-00046912	STMMW_01081
wgMLST-00046913	STMMW_01091
wgMLST-00046914	STMMW_01101
wgMLST-00046915	STMMW_01111
wgMLST-00046916	STMMW_01121
wgMLST-00046917	STMMW_01131
wgMLST-00046918	STMMW_01141
wgMLST-00046919	STMMW_01151
wgMLST-00046920	STMMW_01152
wgMLST-00046921	STMMW_01161
wgMLST-00046922	STMMW_01171
wgMLST-00046923	STMMW_01181
wgMLST-00046924	STMMW_01191
wgMLST-00046925	STMMW_01211
wgMLST-00046926	STMMW_01221
wgMLST-00046927	STMMW_01231
wgMLST-00046928	STMMW_01241
wgMLST-00046929	STMMW_01251
wgMLST-00046930	STMMW_01261
wgMLST-00046931	STMMW_01271
wgMLST-00046932	STMMW_01291
wgMLST-00046933	STMMW_01301
wgMLST-00046934	STMMW_01311
wgMLST-00046935	STMMW_01321
wgMLST-00046936	STMMW_01331
wgMLST-00046937	STMMW_01341
wgMLST-00046938	STMMW_01351
wgMLST-00046939	STMMW_01361
wgMLST-00046940	STMMW_01371
wgMLST-00046941	STMMW_01381
wgMLST-00046942	STMMW_01391
wgMLST-00046943	STMMW_01401
wgMLST-00046944	STMMW_01411
wgMLST-00046945	STMMW_01421
wgMLST-00046946	STMMW_01431
wgMLST-00046947	STMMW_01441
wgMLST-00046948	STMMW_01451
wgMLST-00046949	STMMW_01461
wgMLST-00046950	STMMW_01471
wgMLST-00046951	STMMW_01481
wgMLST-00046952	STMMW_01491
wgMLST-00046953	STMMW_01501
wgMLST-00046954	STMMW_01511
wgMLST-00046955	STMMW_01521
wgMLST-00046956	STMMW_01531
wgMLST-00046957	STMMW_01541
wgMLST-00046958	STMMW_01551
wgMLST-00046959	STMMW_01571
wgMLST-00046960	STMMW_01581
wgMLST-00046961	STMMW_01591
wgMLST-00046962	STMMW_01601
wgMLST-00046963	STMMW_01611
wgMLST-00046964	STMMW_01621
wgMLST-00046965	STMMW_01641
wgMLST-00046967	STMMW_01661
wgMLST-00046968	STMMW_01671
wgMLST-00046969	STMMW_01691
wgMLST-00046970	STMMW_01701
wgMLST-00046971	STMMW_01711
wgMLST-00046972	STMMW_01721
wgMLST-00046973	STMMW_01731
wgMLST-00046974	STMMW_01741
wgMLST-00046975	STMMW_01751
wgMLST-00046976	STMMW_01761
wgMLST-00046977	STMMW_01771
wgMLST-00046978	STMMW_01781
wgMLST-00046979	STMMW_01791
wgMLST-00046980	STMMW_01801
wgMLST-00046981	STMMW_01811
wgMLST-00046982	STMMW_01821
wgMLST-00046983	STMMW_01831
wgMLST-00046984	STMMW_01841
wgMLST-00046985	STMMW_01851
wgMLST-00046986	STMMW_01861
wgMLST-00046987	STMMW_01871
wgMLST-00046988	STMMW_01881
wgMLST-00046989	STMMW_01891
wgMLST-00046990	STMMW_01901
wgMLST-00046991	STMMW_01911
wgMLST-00046992	STMMW_01921
wgMLST-00046993	STMMW_01931
wgMLST-00046994	STMMW_01941
wgMLST-00046995	STMMW_01951
wgMLST-00046996	STMMW_01961
wgMLST-00046997	STMMW_01971
wgMLST-00046998	STMMW_01981
wgMLST-00046999	STMMW_01991
wgMLST-00047000	STMMW_02001
wgMLST-00047001	STMMW_02011
wgMLST-00047003	STMMW_02041
wgMLST-00047004	STMMW_02051
wgMLST-00047005	STMMW_02061
wgMLST-00047006	STMMW_02071
wgMLST-00047007	STMMW_02081
wgMLST-00047008	STMMW_02091
wgMLST-00047009	STMMW_02101
wgMLST-00047010	STMMW_02121
wgMLST-00047011	STMMW_02131
wgMLST-00047012	STMMW_02141
wgMLST-00047013	STMMW_02151
wgMLST-00047014	STMMW_02161
wgMLST-00047015	STMMW_02171
wgMLST-00047016	STMMW_02191
wgMLST-00047017	STMMW_02201
wgMLST-00047018	STMMW_02211
wgMLST-00047019	STMMW_02221
wgMLST-00047020	STMMW_02231
wgMLST-00047021	STMMW_02241
wgMLST-00047022	STMMW_02251
wgMLST-00047023	STMMW_02261
wgMLST-00047024	STMMW_02271
wgMLST-00047025	STMMW_02281
wgMLST-00047026	STMMW_02291
wgMLST-00047027	STMMW_02301
wgMLST-00047028	STMMW_02311
wgMLST-00047029	STMMW_02321
wgMLST-00047030	STMMW_02331
wgMLST-00047031	STMMW_02341
wgMLST-00047032	STMMW_02351
wgMLST-00047033	STMMW_02361
wgMLST-00047035	STMMW_02381
wgMLST-00047036	STMMW_02391
wgMLST-00047037	STMMW_02411
wgMLST-00047038	STMMW_02421
wgMLST-00047039	STMMW_02431
wgMLST-00047040	STMMW_02441
wgMLST-00047041	STMMW_02451
wgMLST-00047042	STMMW_02461
wgMLST-00047043	STMMW_02471
wgMLST-00047044	STMMW_02481
wgMLST-00047045	STMMW_02491
wgMLST-00047046	STMMW_02501
wgMLST-00047047	STMMW_02511
wgMLST-00047048	STMMW_02521
wgMLST-00047049	STMMW_02531
wgMLST-00047050	STMMW_02532
wgMLST-00047051	STMMW_02541
wgMLST-00047052	STMMW_02551
wgMLST-00047053	STMMW_02561
wgMLST-00047054	STMMW_02571
wgMLST-00047055	STMMW_02581
wgMLST-00047056	STMMW_02591
wgMLST-00047057	STMMW_02601
wgMLST-00047058	STMMW_02611
wgMLST-00047059	STMMW_02621
wgMLST-00047060	STMMW_02631
wgMLST-00047095	STMMW_03171
wgMLST-00047096	STMMW_03181
wgMLST-00047097	STMMW_03191
wgMLST-00047098	STMMW_03201
wgMLST-00047099	STMMW_03211
wgMLST-00047100	STMMW_03221
wgMLST-00047101	STMMW_03231
wgMLST-00047102	STMMW_03241
wgMLST-00047103	STMMW_03261
wgMLST-00047104	STMMW_03271
wgMLST-00047105	STMMW_03281
wgMLST-00047106	STMMW_03291
wgMLST-00047107	STMMW_03301
wgMLST-00047108	STMMW_03311
wgMLST-00047109	STMMW_03321
wgMLST-00047110	STMMW_03331
wgMLST-00047159	STMMW_03971
wgMLST-00047160	STMMW_03981
wgMLST-00047161	STMMW_03991
wgMLST-00047162	STMMW_04001
wgMLST-00047163	STMMW_04011
wgMLST-00047165	STMMW_04041
wgMLST-00047167	STMMW_04061
wgMLST-00047168	STMMW_04071
wgMLST-00047169	STMMW_04081
wgMLST-00047170	STMMW_04091
wgMLST-00047171	STMMW_04101
wgMLST-00047174	STMMW_04131
wgMLST-00047175	STMMW_04141
wgMLST-00047178	STMMW_04171
wgMLST-00047180	STMMW_04191
wgMLST-00047181	STMMW_04201
wgMLST-00047182	STMMW_04211
wgMLST-00047183	STMMW_04241
wgMLST-00047184	STMMW_04251
wgMLST-00047185	STMMW_04261
wgMLST-00047186	STMMW_04271
wgMLST-00047187	STMMW_04281
wgMLST-00047188	STMMW_04291
wgMLST-00047189	STMMW_04301
wgMLST-00047190	STMMW_04311
wgMLST-00047192	STMMW_04331
wgMLST-00047193	STMMW_04341
wgMLST-00047194	STMMW_04351
wgMLST-00047195	STMMW_04361
wgMLST-00047196	STMMW_04371
wgMLST-00047197	STMMW_04381
wgMLST-00047198	STMMW_04391
wgMLST-00047199	STMMW_04401
wgMLST-00047200	STMMW_04411
wgMLST-00047201	STMMW_04421
wgMLST-00047203	STMMW_04441
wgMLST-00047204	STMMW_04451
wgMLST-00047205	STMMW_04461
wgMLST-00047206	STMMW_04471
wgMLST-00047207	STMMW_04481
wgMLST-00047208	STMMW_04491
wgMLST-00047209	STMMW_04501
wgMLST-00047210	STMMW_04511
wgMLST-00047211	STMMW_04521
wgMLST-00047212	STMMW_04531
wgMLST-00047214	STMMW_04541
wgMLST-00047215	STMMW_04551
wgMLST-00047216	STMMW_04561
wgMLST-00047217	STMMW_04571
wgMLST-00047218	STMMW_04581
wgMLST-00047219	STMMW_04591
wgMLST-00047220	STMMW_04601
wgMLST-00047221	STMMW_04611
wgMLST-00047222	STMMW_04631
wgMLST-00047223	STMMW_04641
wgMLST-00047224	STMMW_04651
wgMLST-00047225	STMMW_04661
wgMLST-00047226	STMMW_04671
